Subject,Start date
Horário manhã,01/06/2020
Horário tarde,01/07/2020
Horário tarde,01/08/2020
Horário noite,01/09/2020
Horário noite,01/10/2020
Horário folga,01/12/2020
Horário folga,01/13/2020
Horário manhã,01/14/2020
Horário manhã,01/15/2020
Horário tarde,01/16/2020
Horário tarde,01/17/2020
Horário noite,01/18/2020
Horário noite,01/19/2020
Horário folga,01/20/2020
Horário folga,01/21/2020
Horário manhã,01/22/2020
Horário manhã,01/23/2020
Horário tarde,01/24/2020
Horário tarde,01/25/2020
Horário noite,01/26/2020
Horário noite,01/27/2020
Horário folga,01/28/2020
Horário folga,01/29/2020
Horário manhã,01/30/2020
Horário manhã,01/31/2020
Horário tarde,02/01/2020
Horário tarde,02/02/2020
Horário noite,02/03/2020
Horário noite,02/04/2020
Horário folga,02/05/2020
Horário folga,02/06/2020
Horário manhã,02/07/2020
Horário manhã,02/08/2020
Horário tarde,02/09/2020
Horário tarde,02/10/2020
Horário noite,02/11/2020
Horário noite,02/12/2020
Horário folga,02/13/2020
Horário folga,02/14/2020
Horário manhã,02/15/2020
Horário manhã,02/16/2020
Horário tarde,02/17/2020
Horário tarde,02/18/2020
Horário noite,02/19/2020
Horário noite,02/20/2020
Horário folga,02/21/2020
Horário folga,02/22/2020
Horário manhã,02/23/2020
Horário manhã,02/24/2020
Horário tarde,02/25/2020
Horário tarde,02/26/2020
Horário noite,02/27/2020
Horário noite,02/28/2020
Horário folga,02/29/2020
Horário folga,03/01/2020
Horário manhã,03/02/2020
Horário manhã,03/03/2020
Horário tarde,03/04/2020
Horário tarde,03/05/2020
Horário noite,03/06/2020
Horário noite,03/07/2020
Horário folga,03/08/2020
Horário folga,03/09/2020
Horário manhã,03/10/2020
Horário manhã,03/11/2020
Horário tarde,03/12/2020
Horário tarde,03/13/2020
Horário noite,03/14/2020
Horário noite,03/15/2020
Horário folga,03/16/2020
Horário folga,03/17/2020
Horário manhã,03/18/2020
Horário manhã,03/19/2020
Horário tarde,03/20/2020
Horário tarde,03/21/2020
Horário noite,03/22/2020
Horário noite,03/23/2020
Horário folga,03/24/2020
Horário folga,03/25/2020
Horário manhã,03/26/2020
Horário manhã,03/27/2020
Horário tarde,03/28/2020
Horário tarde,03/29/2020
Horário noite,03/30/2020
Horário noite,03/31/2020
Horário folga,04/01/2020
Horário folga,04/02/2020
Horário manhã,04/03/2020
Horário manhã,04/04/2020
Horário tarde,04/05/2020
Horário tarde,04/06/2020
Horário noite,04/07/2020
Horário noite,04/08/2020
Horário folga,04/09/2020
Horário folga,04/10/2020
Horário manhã,04/11/2020
Horário manhã,04/12/2020
Horário tarde,04/13/2020
Horário tarde,04/14/2020
Horário noite,04/15/2020
Horário noite,04/16/2020
Horário folga,04/17/2020
Horário folga,04/18/2020
Horário manhã,04/19/2020
Horário manhã,04/20/2020
Horário tarde,04/21/2020
Horário tarde,04/22/2020
Horário noite,04/23/2020
Horário noite,04/24/2020
Horário folga,04/25/2020
Horário folga,04/26/2020
Horário manhã,04/27/2020
Horário manhã,04/28/2020
Horário tarde,04/29/2020
Horário tarde,04/30/2020
Horário noite,05/01/2020
Horário noite,05/02/2020
Horário folga,05/03/2020
Horário folga,05/04/2020
Horário manhã,05/05/2020
Horário manhã,05/06/2020
Horário tarde,05/07/2020
Horário tarde,05/08/2020
Horário noite,05/09/2020
Horário noite,05/10/2020
Horário folga,05/11/2020
Horário folga,05/12/2020
Horário manhã,05/13/2020
Horário manhã,05/14/2020
Horário tarde,05/15/2020
Horário tarde,05/16/2020
Horário noite,05/17/2020
Horário noite,05/18/2020
Horário folga,05/19/2020
Horário folga,05/20/2020
Horário manhã,05/21/2020
Horário manhã,05/22/2020
Horário tarde,05/23/2020
Horário tarde,05/24/2020
Horário noite,05/25/2020
Horário noite,05/26/2020
Horário folga,05/27/2020
Horário folga,05/28/2020
Horário manhã,05/29/2020
Horário manhã,05/30/2020
Horário tarde,05/31/2020
Horário tarde,06/01/2020
Horário noite,06/02/2020
Horário noite,06/03/2020
Horário folga,06/04/2020
Horário folga,06/05/2020
Horário manhã,06/06/2020
Horário manhã,06/07/2020
Horário tarde,06/08/2020
Horário tarde,06/09/2020
Horário noite,06/10/2020
Horário noite,06/11/2020
Horário folga,06/12/2020
Horário folga,06/13/2020
Horário manhã,06/14/2020
Horário manhã,06/15/2020
Horário tarde,06/16/2020
Horário tarde,06/17/2020
Horário noite,06/18/2020
Horário noite,06/19/2020
Horário folga,06/20/2020
Horário folga,06/21/2020
Horário manhã,06/22/2020
Horário manhã,06/23/2020
Horário tarde,06/24/2020
Horário tarde,06/25/2020
Horário noite,06/26/2020
Horário noite,06/27/2020
Horário folga,06/28/2020
Horário folga,06/29/2020
Horário manhã,06/30/2020
Horário manhã,07/01/2020
Horário tarde,07/02/2020
Horário tarde,07/03/2020
Horário noite,07/04/2020
Horário noite,07/05/2020
Horário folga,07/06/2020
Horário folga,07/07/2020
Horário manhã,07/08/2020
Horário manhã,07/09/2020
Horário tarde,07/10/2020
Horário tarde,07/11/2020
Horário noite,07/12/2020
Horário noite,07/13/2020
Horário folga,07/14/2020
Horário folga,07/15/2020
Horário manhã,07/16/2020
Horário manhã,07/17/2020
Horário tarde,07/18/2020
Horário tarde,07/19/2020
Horário noite,07/20/2020
Horário noite,07/21/2020
Horário folga,07/22/2020
Horário folga,07/23/2020
Horário manhã,07/24/2020
Horário manhã,07/25/2020
Horário tarde,07/26/2020
Horário tarde,07/27/2020
Horário noite,07/28/2020
Horário noite,07/29/2020
Horário folga,07/30/2020
Horário folga,07/31/2020
Horário manhã,08/01/2020
Horário manhã,08/02/2020
Horário tarde,08/03/2020
Horário tarde,08/04/2020
Horário noite,08/05/2020
Horário noite,08/06/2020
Horário folga,08/07/2020
Horário folga,08/08/2020
Horário manhã,08/09/2020
Horário manhã,08/10/2020
Horário tarde,08/11/2020
Horário tarde,08/12/2020
Horário noite,08/13/2020
Horário noite,08/14/2020
Horário folga,08/15/2020
Horário folga,08/16/2020
Horário manhã,08/17/2020
Horário manhã,08/18/2020
Horário tarde,08/19/2020
Horário tarde,08/20/2020
Horário noite,08/21/2020
Horário noite,08/22/2020
Horário folga,08/23/2020
Horário folga,08/24/2020
Horário manhã,08/25/2020
Horário manhã,08/26/2020
Horário tarde,08/27/2020
Horário tarde,08/28/2020
Horário noite,08/29/2020
Horário noite,08/30/2020
Horário folga,08/31/2020
Horário folga,09/01/2020
Horário manhã,09/02/2020
Horário manhã,09/03/2020
Horário tarde,09/04/2020
Horário tarde,09/05/2020
Horário noite,09/06/2020
Horário noite,09/07/2020
Horário folga,09/08/2020
Horário folga,09/09/2020
Horário manhã,09/10/2020
Horário manhã,09/11/2020
Horário tarde,09/12/2020
Horário tarde,09/13/2020
Horário noite,09/14/2020
Horário noite,09/15/2020
Horário folga,09/16/2020
Horário folga,09/17/2020
Horário manhã,09/18/2020
Horário manhã,09/19/2020
Horário tarde,09/20/2020
Horário tarde,09/21/2020
Horário noite,09/22/2020
Horário noite,09/23/2020
Horário folga,09/24/2020
Horário folga,09/25/2020
Horário manhã,09/26/2020
Horário manhã,09/27/2020
Horário tarde,09/28/2020
Horário tarde,09/29/2020
Horário noite,09/30/2020
Horário noite,10/01/2020
Horário folga,10/02/2020
Horário folga,10/03/2020
Horário manhã,10/04/2020
Horário manhã,10/05/2020
Horário tarde,10/06/2020
Horário tarde,10/07/2020
Horário noite,10/08/2020
Horário noite,10/09/2020
Horário folga,10/10/2020
Horário folga,10/11/2020
Horário manhã,10/12/2020
Horário manhã,10/13/2020
Horário tarde,10/14/2020
Horário tarde,10/15/2020
Horário noite,10/16/2020
Horário noite,10/17/2020
Horário folga,10/18/2020
Horário folga,10/19/2020
Horário manhã,10/20/2020
Horário manhã,10/21/2020
Horário tarde,10/22/2020
Horário tarde,10/23/2020
Horário noite,10/24/2020
Horário noite,10/25/2020
Horário folga,10/26/2020
Horário folga,10/27/2020
Horário manhã,10/28/2020
Horário manhã,10/29/2020
Horário tarde,10/30/2020
Horário tarde,10/31/2020
Horário noite,11/01/2020
Horário noite,11/02/2020
Horário folga,11/03/2020
Horário folga,11/04/2020
Horário manhã,11/05/2020
Horário manhã,11/06/2020
Horário tarde,11/07/2020
Horário tarde,11/08/2020
Horário noite,11/09/2020
Horário noite,11/10/2020
Horário folga,11/11/2020
Horário folga,11/12/2020
Horário manhã,11/13/2020
Horário manhã,11/14/2020
Horário tarde,11/15/2020
Horário tarde,11/16/2020
Horário noite,11/17/2020
Horário noite,11/18/2020
Horário folga,11/19/2020
Horário folga,11/20/2020
Horário manhã,11/21/2020
Horário manhã,11/22/2020
Horário tarde,11/23/2020
Horário tarde,11/24/2020
Horário noite,11/25/2020
Horário noite,11/26/2020
Horário folga,11/27/2020
Horário folga,11/28/2020
Horário manhã,11/29/2020
Horário manhã,11/30/2020
Horário tarde,12/01/2020
Horário tarde,12/02/2020
Horário noite,12/03/2020
Horário noite,12/04/2020
Horário folga,12/05/2020
Horário folga,12/06/2020
Horário manhã,12/07/2020
Horário manhã,12/08/2020
Horário tarde,12/09/2020
Horário tarde,12/10/2020
Horário noite,12/11/2020
Horário noite,12/12/2020
Horário folga,12/13/2020
Horário folga,12/14/2020
Horário manhã,12/15/2020
Horário manhã,12/16/2020
Horário tarde,12/17/2020
Horário tarde,12/18/2020
Horário noite,12/19/2020
Horário noite,12/20/2020
Horário folga,12/21/2020
Horário folga,12/22/2020
Horário manhã,12/23/2020
Horário manhã,12/24/2020
Horário tarde,12/25/2020
Horário tarde,12/26/2020
Horário noite,12/27/2020
Horário noite,12/28/2020
Horário folga,12/29/2020
Horário folga,12/30/2020